"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/adnan/Documents/Projects/Done/social-networking-site-in-nodejs-and-mongodb/package-3-premium-social-networking-site-in-nodejs-and-mongodb/server.js", "JavaScript", 2720, 25, 396, 3141
"Total", "-", 2720, 25, 396, 3141
